Identifier,Name,Pitch,Set,Set number,Edition,Foiling,Treatment,Have,Want in trade,Want to buy,Extra for trade,Extra to sell
rhinar-reckless-rampage,"Rhinar, Reckless Rampage",,Welcome to Rathe,WTR001,Unlimited,,,1,,,,
rhinar,Rhinar,,Welcome to Rathe,WTR002,Unlimited,,,1,,,,
romping-club,Romping Club,,Welcome to Rathe,WTR003,Unlimited,,,1,,,,
barkbone-strapping,"Barkbone Strapping ",,Welcome to Rathe,WTR005,Unlimited,,,3,,,,
alpha-rampage-red,Alpha Rampage,Red,Welcome to Rathe,WTR006,Unlimited,,,3,,,,
bloodrush-bellow-yellow,Bloodrush Bellow,Yellow,Welcome to Rathe,WTR007,Unlimited,,,3,,,,
reckless-swing-blue,Reckless Swing,Blue,Welcome to Rathe,WTR008,Unlimited,,,3,,,,
sand-sketched-plan-blue,Sand Sketched Plan,Blue,Welcome to Rathe,WTR009,Unlimited,,,3,,,,
bone-head-barrier-yellow,Bone Head Barrier,Yellow,Welcome to Rathe,WTR010,Unlimited,,,3,,,,
breakneck-battery-red,Breakneck Battery,Red,Welcome to Rathe,WTR011,Unlimited,,,2,,,,
breakneck-battery-red,Breakneck Battery,Red,Welcome to Rathe,WTR011,Unlimited,Rainbow,,1,,,,
breakneck-battery-yellow,Breakneck Battery,Yellow,Welcome to Rathe,WTR012,Unlimited,,,4,,,,
breakneck-battery-blue,Breakneck Battery,Blue,Welcome to Rathe,WTR013,Unlimited,,,3,,,,
savage-feast-red,Savage Feast,Red,Welcome to Rathe,WTR014,Unlimited,,,3,,,,
savage-feast-yellow,Savage Feast,Yellow,Welcome to Rathe,WTR015,Unlimited,,,3,,,,
savage-feast-blue,Savage Feast,Blue,Welcome to Rathe,WTR016,Unlimited,,,3,,,,
barraging-beatdown-red,Barraging Beatdown,Red,Welcome to Rathe,WTR017,Unlimited,,,3,,,,
barraging-beatdown-yellow,Barraging Beatdown,Yellow,Welcome to Rathe,WTR018,Unlimited,,,3,,,,
barraging-beatdown-blue,Barraging Beatdown,Blue,Welcome to Rathe,WTR019,Unlimited,,,3,,,,
savage-swing-red,Savage Swing,Red,Welcome to Rathe,WTR020,Unlimited,,,3,,,,
savage-swing-yellow,Savage Swing,Yellow,Welcome to Rathe,WTR021,Unlimited,,,4,,,,
savage-swing-blue,Savage Swing,Blue,Welcome to Rathe,WTR022,Unlimited,,,3,,,,
pack-hunt-red,Pack Hunt,Red,Welcome to Rathe,WTR023,Unlimited,,,3,,,,
pack-hunt-yellow,Pack Hunt,Yellow,Welcome to Rathe,WTR024,Unlimited,,,3,,,,
pack-hunt-yellow,Pack Hunt,Yellow,Welcome to Rathe,WTR024,Unlimited,Rainbow,,1,,,,
pack-hunt-blue,Pack Hunt,Blue,Welcome to Rathe,WTR025,Unlimited,,,3,,,,
smash-instinct-red,Smash Instinct,Red,Welcome to Rathe,WTR026,Unlimited,,,3,,,,
smash-instinct-yellow,Smash Instinct,Yellow,Welcome to Rathe,WTR027,Unlimited,,,3,,,,
smash-instinct-blue,Smash Instinct,Blue,Welcome to Rathe,WTR028,Unlimited,,,3,,,,
wrecker-romp-red,Wrecker Romp,Red,Welcome to Rathe,WTR029,Unlimited,,,3,,,,
wrecker-romp-yellow,Wrecker Romp,Yellow,Welcome to Rathe,WTR030,Unlimited,,,3,,,,
wrecker-romp-blue,Wrecker Romp,Blue,Welcome to Rathe,WTR031,Unlimited,,,3,,,,
awakening-bellow-red,Awakening Bellow,Red,Welcome to Rathe,WTR032,Unlimited,,,3,,,,
awakening-bellow-yellow,Awakening Bellow,Yellow,Welcome to Rathe,WTR033,Unlimited,,,3,,,,
awakening-bellow-yellow,Awakening Bellow,Yellow,Welcome to Rathe,WTR033,Unlimited,Rainbow,,1,,,,
awakening-bellow-blue,Awakening Bellow,Blue,Welcome to Rathe,WTR034,Unlimited,,,3,,,,
primeval-bellow-red,Primeval Bellow,Red,Welcome to Rathe,WTR035,Unlimited,,,3,,,,
primeval-bellow-yellow,Primeval Bellow,Yellow,Welcome to Rathe,WTR036,Unlimited,,,3,,,,
