Identifier,Name,Pitch,Set,Set number,Edition,Foiling,Treatment,Have,Want in trade,Want to buy,Extra for trade,Extra to sell
"10000-year-reunion-red","10,000 Year Reunion","Red","Part the Mistveil","MST131",,,,3,,,0,
"10000-year-reunion-red","10,000 Year Reunion","Red","Part the Mistveil","MST131",,Rainbow,,0,,,0,
"a-bit-off-the-side-red","A Bit off the Side","Red","Omens of the Third Age","OMN243",,,,1,,,0,
"a-bit-off-the-side-red","A Bit off the Side","Red","Omens of the Third Age","OMN243",,Cold,Extended Art,,,,,
"a-drop-in-the-ocean-blue","A Drop in the Ocean","Blue","Enigma Silver Age Deck","SEN031",,,,,,,,
"a-drop-in-the-ocean-blue","A Drop in the Ocean","Blue","Part the Mistveil","MST095",,,,14,,,13,
"a-drop-in-the-ocean-blue","A Drop in the Ocean","Blue","Part the Mistveil","MST095",,Cold,Full Art,1,,,0,
"a-drop-in-the-ocean-blue","A Drop in the Ocean","Blue","Enigma Blitz Deck","ENG025",,,,,,,,
"a-drop-in-the-ocean-blue","A Drop in the Ocean","Blue","Promos","LGS282",,Rainbow,Extended Art,,,,,
"a-good-clean-fight-red","A Good Clean Fight","Red","Super Slam","SUP021",,,,1,,,0,
"a-good-clean-fight-red","A Good Clean Fight","Red","Super Slam","SUP021",,Rainbow,,0,,,0,
"a-good-clean-fight-red","A Good Clean Fight","Red","GEM","GEM088",,,Extended Art,1,,,,
"a-good-clean-fight-red","A Good Clean Fight","Red","GEM","GEM088",,Rainbow,Extended Art,0,,,,
"a-moments-peace-blue","A Moment's Peace","Blue","Mastery Pack: Warrior","MPW075",,,,,,,,
"a-moments-peace-blue","A Moment's Peace","Blue","Mastery Pack: Warrior","MPW075",,Rainbow,,,,,,
"absorb-in-aether-red","Absorb in Aether","Red","Blaze Silver Age Deck","SBZ012",,,,,,,,
"absorb-in-aether-red","Absorb in Aether","Red","Iyslander Silver Age Deck","SIY013",,,,,,,,
"absorb-in-aether-red","Absorb in Aether","Red","Arcane Rising","ARC123",Unlimited,,,3,,,0,
"absorb-in-aether-red","Absorb in Aether","Red","Arcane Rising","ARC123",Unlimited,Rainbow,,0,,,0,
"absorb-in-aether-red","Absorb in Aether","Red","Arcane Rising","ARC123",First,,,,,,,
"absorb-in-aether-red","Absorb in Aether","Red","Arcane Rising","ARC123",First,Rainbow,,,,,,
"absorb-in-aether-yellow","Absorb in Aether","Yellow","Arcane Rising","ARC124",Unlimited,,,2,,,0,
"absorb-in-aether-yellow","Absorb in Aether","Yellow","Arcane Rising","ARC124",Unlimited,Rainbow,,1,,,0,
"absorb-in-aether-yellow","Absorb in Aether","Yellow","Arcane Rising","ARC124",First,,,,,,,
"absorb-in-aether-yellow","Absorb in Aether","Yellow","Arcane Rising","ARC124",First,Rainbow,,,,,,
"absorb-in-aether-blue","Absorb in Aether","Blue","Arcane Rising","ARC125",Unlimited,,,3,,,0,
"absorb-in-aether-blue","Absorb in Aether","Blue","Arcane Rising","ARC125",Unlimited,Rainbow,,0,,,0,
"absorb-in-aether-blue","Absorb in Aether","Blue","Arcane Rising","ARC125",First,,,,,,,
"absorb-in-aether-blue","Absorb in Aether","Blue","Arcane Rising","ARC125",First,Rainbow,,,,,,
"absorption-dome-yellow","Absorption Dome","Yellow","Crucible of War","CRU104",Unlimited,,,3,,,0,
"absorption-dome-yellow","Absorption Dome","Yellow","Crucible of War","CRU104",Unlimited,Rainbow,,0,,,0,
"absorption-dome-yellow","Absorption Dome","Yellow","Crucible of War","CRU104",First,,,,,,,
"absorption-dome-yellow","Absorption Dome","Yellow","Crucible of War","CRU104",First,Rainbow,,,,,,
"achilles-accelerator","Achilles Accelerator","","Dash Silver Age Deck","SDA010",,,,,,,,
"achilles-accelerator","Achilles Accelerator","","History Pack 1","1HP186",,,,2,,,2,
"achilles-accelerator","Achilles Accelerator","","Arcane Rising","ARC005",Unlimited,,,2,,,1,
"achilles-accelerator","Achilles Accelerator","","Arcane Rising","ARC005",Unlimited,Rainbow,,0,,,0,
"achilles-accelerator","Achilles Accelerator","","Arcane Rising","ARC005",First,,,,,,,
"achilles-accelerator","Achilles Accelerator","","Arcane Rising","ARC005",First,Cold,,,,,,
"achilles-accelerator","Achilles Accelerator","","Promos","FAB101",,Gold,,,,,,
"act-of-glory-red","Act of Glory","Red","Lyath Silver Age Deck","SLY016",,,,,,,,
"act-of-glory-red","Act of Glory","Red","Armory Deck: Pleiades","APS011",,,,,,,,
"act-of-glory-red","Act of Glory","Red","Super Slam","SUP195",,,,5,,,2,
"act-of-glory-red","Act of Glory","Red","Super Slam","SUP195",,Rainbow,,0,,,0,
"act-of-glory-red","Act of Glory","Red","Promos","LGS435",,Cold,Extended Art,,,,,
"act-of-glory-yellow","Act of Glory","Yellow","Super Slam","SUP196",,,,4,,,2,
"act-of-glory-yellow","Act of Glory","Yellow","Super Slam","SUP196",,Rainbow,,1,,,0,
"act-of-glory-blue","Act of Glory","Blue","Armory Deck: Pleiades","APS022",,,,,,,,
"act-of-glory-blue","Act of Glory","Blue","Super Slam","SUP197",,,,3,,,0,
"act-of-glory-blue","Act of Glory","Blue","Super Slam","SUP197",,Rainbow,,0,,,0,
"adaptive-alpha-mold","Adaptive Alpha Mold","","Super Slam","SUP253",,,,0,,,,
"adaptive-alpha-mold","Adaptive Alpha Mold","","Super Slam","SUP253",,Cold,Extended Art,,,,,
"adaptive-dissolver","Adaptive Dissolver","","Rosetta","ROS246",,,,0,,,,
"adaptive-dissolver","Adaptive Dissolver","","Rosetta","ROS246",,Cold,,0,,,,
"adaptive-plating","Adaptive Plating","","Bright Lights","EVO013",,Cold,,0,,,,
"adaptive-plating","Adaptive Plating","","Bright Lights","EVO013",,Rainbow,,0,,,,
"adaptive-plating","Adaptive Plating","","Promos","FAB169",,Gold,,,,,,
"adrenaline-rush-red","Adrenaline Rush","Red","Heavy Hitters","HVY222",,,,9,,,8,
"adrenaline-rush-red","Adrenaline Rush","Red","Monarch","MON263",Unlimited,,,3,,,1,
"adrenaline-rush-red","Adrenaline Rush","Red","Monarch","MON263",Unlimited,Rainbow,,1,,,0,
"adrenaline-rush-red","Adrenaline Rush","Red","Monarch","MON263",First,,,,,,,
"adrenaline-rush-red","Adrenaline Rush","Red","Monarch","MON263",First,Rainbow,,,,,,
"adrenaline-rush-yellow","Adrenaline Rush","Yellow","Heavy Hitters","HVY223",,,,11,,,10,
"adrenaline-rush-yellow","Adrenaline Rush","Yellow","Monarch","MON264",Unlimited,,,2,,,0,
"adrenaline-rush-yellow","Adrenaline Rush","Yellow","Monarch","MON264",Unlimited,Rainbow,,1,,,0,
"adrenaline-rush-yellow","Adrenaline Rush","Yellow","Monarch","MON264",First,,,,,,,
"adrenaline-rush-yellow","Adrenaline Rush","Yellow","Monarch","MON264",First,Rainbow,,,,,,
"adrenaline-rush-blue","Adrenaline Rush","Blue","Heavy Hitters","HVY224",,,,8,,,7,
"adrenaline-rush-blue","Adrenaline Rush","Blue","Monarch","MON265",Unlimited,,,4,,,1,
"adrenaline-rush-blue","Adrenaline Rush","Blue","Monarch","MON265",Unlimited,Rainbow,,0,,,0,
"adrenaline-rush-blue","Adrenaline Rush","Blue","Monarch","MON265",First,,,,,,,
"adrenaline-rush-blue","Adrenaline Rush","Blue","Monarch","MON265",First,Rainbow,,,,,,
"aegis-archangel-of-protection","Aegis, Archangel of Protection","","Dusk till Dawn","DTD007",,,,,,,,
"aegis-archangel-of-protection","Aegis, Archangel of Protection","","Dusk till Dawn","DTD007",,Cold,Full Art,,,,,
"aether-arc-blue","Aether Arc","Blue","Heavy Hitters","HVY252",,,,0,,,,
"aether-arc-blue","Aether Arc","Blue","Heavy Hitters","HVY252",,Rainbow,,0,,,,
"aether-ashwing","Aether Ashwing","","Uprising","UPR042",,,,3,,,2,
"aether-ashwing","Aether Ashwing","","Uprising","UPR042",,Cold,,0,,,0,
"aether-ashwing","Aether Ashwing","","Uprising","UPR042",,Cold,Alternate Art,,,,,
"aether-ashwing","Aether Ashwing","","Dromai Blitz Deck","DRO003",,,,,,,,
"aether-bindings-of-the-third-age","Aether Bindings of the Third Age","","Rosetta","ROS163",,Cold,,0,,,,
"aether-bindings-of-the-third-age","Aether Bindings of the Third Age","","Rosetta","ROS163",,Rainbow,,0,,,,
"aether-bindings-of-the-third-age","Aether Bindings of the Third Age","","Promos","FAB253",,Gold,,,,,,
"aether-conduit","Aether Conduit","","History Pack 1","1HP304",,,,0,,,,
"aether-conduit","Aether Conduit","","Crucible of War","CRU160",Unlimited,,,1,,,0,
"aether-conduit","Aether Conduit","","Crucible of War","CRU160",Unlimited,Rainbow,,0,,,0,
"aether-conduit","Aether Conduit","","Crucible of War","CRU160",First,,,,,,,
"aether-conduit","Aether Conduit","","Crucible of War","CRU160",First,Cold,,,,,,
"aether-crackers","Aether Crackers","","1st Strike: Aurora","AUR005",,,,,,,,
"aether-crackers","Aether Crackers","","Promos","FAB334",,Cold,,,,,,
"aether-dart-red","Aether Dart","Red","Uprising","UPR173",,,,6,,,3,
"aether-dart-red","Aether Dart","Red","Uprising","UPR173",,Rainbow,,0,,,0,
"aether-dart-yellow","Aether Dart","Yellow","Uprising","UPR174",,,,5,,,2,
"aether-dart-yellow","Aether Dart","Yellow","Uprising","UPR174",,Rainbow,,0,,,0,
"aether-dart-blue","Aether Dart","Blue","Uprising","UPR175",,,,3,,,2,
"aether-dart-blue","Aether Dart","Blue","Uprising","UPR175",,Rainbow,,2,,,0,
"aether-flare-red","Aether Flare","Red","History Pack 1","1HP323",,,,4,,,4,
"aether-flare-red","Aether Flare","Red","Arcane Rising","ARC132",Unlimited,,,7,,,4,
"aether-flare-red","Aether Flare","Red","Arcane Rising","ARC132",Unlimited,Rainbow,,0,,,0,
"aether-flare-red","Aether Flare","Red","Arcane Rising","ARC132",First,,,,,,,
"aether-flare-red","Aether Flare","Red","Arcane Rising","ARC132",First,Rainbow,,,,,,
"aether-flare-yellow","Aether Flare","Yellow","History Pack 1","1HP324",,,,6,,,6,
"aether-flare-yellow","Aether Flare","Yellow","Arcane Rising","ARC133",Unlimited,,,4,,,1,
"aether-flare-yellow","Aether Flare","Yellow","Arcane Rising","ARC133",Unlimited,Rainbow,,0,,,0,
"aether-flare-yellow","Aether Flare","Yellow","Arcane Rising","ARC133",First,,,,,,,
"aether-flare-yellow","Aether Flare","Yellow","Arcane Rising","ARC133",First,Rainbow,,,,,,
"aether-flare-blue","Aether Flare","Blue","History Pack 1","1HP325",,,,4,,,4,
"aether-flare-blue","Aether Flare","Blue","Arcane Rising","ARC134",Unlimited,,,4,,,1,
"aether-flare-blue","Aether Flare","Blue","Arcane Rising","ARC134",Unlimited,Rainbow,,0,,,0,
"aether-flare-blue","Aether Flare","Blue","Arcane Rising","ARC134",First,,,,,,,
"aether-flare-blue","Aether Flare","Blue","Arcane Rising","ARC134",First,Rainbow,,,,,,
"aether-hail-red","Aether Hail","Red","Uprising","UPR127",,,,11,,,9,
"aether-hail-red","Aether Hail","Red","Uprising","UPR127",,Rainbow,,1,,,0,
"aether-hail-yellow","Aether Hail","Yellow","Uprising","UPR128",,,,11,,,10,
"aether-hail-yellow","Aether Hail","Yellow","Uprising","UPR128",,Rainbow,,2,,,0,
"aether-hail-blue","Aether Hail","Blue","Iyslander Silver Age Deck","SIY020",,,,,,,,
"aether-hail-blue","Aether Hail","Blue","Uprising","UPR129",,,,12,,,9,
"aether-hail-blue","Aether Hail","Blue","Uprising","UPR129",,Rainbow,,0,,,0,
"aether-icevein-red","Aether Icevein","Red","Iyslander Silver Age Deck","SIY014",,,,,,,,
"aether-icevein-red","Aether Icevein","Red","Uprising","UPR113",,,,8,,,5,
"aether-icevein-red","Aether Icevein","Red","Uprising","UPR113",,Rainbow,,0,,,0,
"aether-icevein-yellow","Aether Icevein","Yellow","Iyslander Silver Age Deck","SIY018",,,,,,,,
"aether-icevein-yellow","Aether Icevein","Yellow","Uprising","UPR114",,,,7,,,4,
"aether-icevein-yellow","Aether Icevein","Yellow","Uprising","UPR114",,Rainbow,,0,,,0,
"aether-icevein-blue","Aether Icevein","Blue","Iyslander Silver Age Deck","SIY021",,,,,,,,
"aether-icevein-blue","Aether Icevein","Blue","Uprising","UPR115",,,,4,,,2,
"aether-icevein-blue","Aether Icevein","Blue","Uprising","UPR115",,Rainbow,,1,,,0,
"aether-ironweave","Aether Ironweave","","Monarch","MON230",Unlimited,,,4,,,3,
"aether-ironweave","Aether Ironweave","","Monarch","MON230",Unlimited,Rainbow,,0,,,0,
